"","Degree","Centrality","Closeness","Betweenness","Nodo.aislado","Estar.NCG"
"KRT19",47,0.277978035952673,0.0505747126436782,306,0,0
"EPCAM",44,0.187003490600481,0.0506474820143885,2439,0,0
"TACSTD2",44,0.27738344632452,0.0506037952846463,312,0,0
"MAL2",44,0.213065438236941,0.0506329113924051,3561,0,0
"TGFBI",75,0.976716666286186,0.0511776679267229,0,0,0
"AGR2",36,0.155410009781945,0.0504876649454963,455,0,0
"VIM",36,0.214601510948286,0.0506620610247553,678,0,0
"GJA1",35,0.477877921204824,0.0502283105022831,0,0,0
"SRGN",12,0.0382540690886696,0.0493965759191692,0,0,0
"IGFBP7",46,0.649447854165343,0.0503720663995421,0,0,0
"SPP1",0,0,0.00564971751412429,0,1,0
"CAV1",68,0.928405460632329,0.0510737086477075,5752,0,0
"DKK1",47,0.707157551608663,0.050560183855214,0,0,0
"C19orf33",60,0.488395720097706,0.0509554140127389,6167,0,0
"UCHL1",2,0.01226401647239,0.0484714954557973,0,0,0
"SPARC",65,0.630980416037199,0.0510737086477075,46,0,0
"TFPI2",51,0.724558546746505,0.0505021520803443,0,0,0
"S100P",32,0.140080805677182,0.0504297994269341,0,0,0
"DSP",47,0.302254382804334,0.0506037952846463,0,0,0
"CTGF",70,0.904457000625338,0.0510440835266821,144,0,0
"ALDH1A1",0,0,0.00564971751412429,0,1,0
"MIR205HG",27,0.165247583591058,0.0499290780141844,0,0,0
"BASP1",1,0.0165996699865547,0.0488481820704968,0,0,0
"IGFBP3",55,0.810818031186957,0.0507204610951009,0,0,0
"SPINT2",39,0.192457788354092,0.0506183491515674,301,0,0
"AKR1C3",6,0.00782055504198109,0.0486591097594692,311,0,0
"FSTL1",77,0.930436639726009,0.0512223515715949,1940.5,0,0
"MGST1",3,0.0303539154950394,0.0493688639551192,0,0,0
"ANXA1",63,0.885477767762432,0.0509701708659137,0,0,0
"TM4SF1",59,0.76057098164078,0.0509701708659137,0,0,0
"AKR1C2",7,0.0136366365077754,0.0487940116440255,2,0,0
"ANXA3",54,0.488630655427571,0.0508376660889659,0,0,0
"RPS4Y1",0,0,0.00564971751412429,0,1,0
"ESRP1",38,0.181882019544586,0.050560183855214,157,0,0
"AMIGO2",46,0.674689658760098,0.0506474820143885,0,0,0
"NNMT",66,0.861073201024537,0.0510144927536232,287,0,0
"CAV2",68,0.911975860317057,0.0510737086477075,5273,0,0
"COL1A2",36,0.36291058739318,0.0502283105022831,0,0,1
"KRT7",47,0.416526436543645,0.0506620610247553,0,0,0
"IFI27",8,0.0613826998018698,0.0493827160493827,157,0,1
"TSPAN8",12,0.0286318151565469,0.0489841358196493,0,0,0
"VAMP8",32,0.163194320996342,0.0504442533677271,0,0,0
"HSPA1A",0,0,0.00564971751412429,0,1,0
"LCN2",39,0.212580350851759,0.0502857142857143,0,0,0
"CTHRC1",7,0.0770667501355728,0.0493135332025778,0,0,0
"S100A2",61,0.740664369177435,0.0510144927536232,0,0,0
"RAB25",39,0.183088344158353,0.0505747126436782,791,0,0
"SRPX",68,0.789341364063658,0.051088534107402,477.5,0,1
"PLAC8",0,0,0.00564971751412429,0,1,0
"MMP1",16,0.241927221373851,0.0497737556561086,0,0,0
"SERPINB5",44,0.210969371490067,0.0504297994269341,156,0,0
"PLS3",65,0.866289256994036,0.0510440835266821,0,0,0
"ARHGDIB",3,0.0198577541921007,0.0489160644802668,0,0,0
"EFEMP1",52,0.746631788725246,0.0506620610247553,0,0,0
"LUM",21,0.225281737809308,0.0499432463110102,0,0,1
"MYOF",77,0.923836951345406,0.0512820512820513,6532,0,0
"HLA-DRA",12,0.120847741789164,0.0497878359264498,3,0,0
"CYR61",77,0.992041343886157,0.0512074483561245,2454,0,0
"ALDH1A3",51,0.635036692053466,0.0507058484586575,0,0,0
"LGALS3",45,0.571806919912337,0.0506329113924051,0,0,0
"CSTA",2,0.00691122140939389,0.0482720789906747,0,0,0
"COL6A3",28,0.274430135605741,0.0502857142857143,0,0,1
"AKR1B10",6,0.0217812219839779,0.049438202247191,456,0,1
"SERPINE1",72,0.905389103207624,0.0511479221156641,153,0,0
"COL5A2",42,0.464203089476312,0.0503576537911302,1,0,0
"GNG11",59,0.69915095360236,0.0508964719491035,146,0,0
"EMP1",63,0.826862352711835,0.0510292838503914,0,0,0
"GDF15",9,0.118579805704572,0.0496754163138583,0,0,0
"PLAT",56,0.794004657964078,0.050735082156241,0,0,0
"GTSF1",1,0.0169258472284747,0.0489160644802668,0,0,0
"GPRC5A",66,0.652308805722811,0.0510440835266821,5645,0,0
"TNC",53,0.733632575327757,0.0506474820143885,141,0,1
"SPOCK1",41,0.547842867581129,0.0504297994269341,0,0,0
"MEST",0,0,0.00564971751412429,0,1,0
"PTX3",67,0.759996311349936,0.0509701708659137,1,0,0
"TUBB6",60,0.82617545132935,0.0509406657018813,0,0,0
"SFN",43,0.242535654516041,0.0506474820143885,4328,0,0
"CEACAM6",24,0.0868176093643138,0.0496894409937888,0,0,0
"HLA-DPA1",8,0.0410025189429016,0.0495774647887324,154,0,0
"SERPINE2",46,0.645984419169376,0.0506620610247553,0,0,0
"LGALS1",39,0.54523177072427,0.0505456634118323,4,0,1
"GPX2",29,0.0964857858423006,0.0501996577296064,0,0,0
"COL3A1",23,0.219114788331262,0.0500142085819835,0,0,1
"RNF128",5,0.0118852075756707,0.0487804878048781,0,0,0
