"","X","Degree","Centrality","Closeness","Betweenness","Nodo.aislado","Estar.NCG"
"1","KRT19",0.5875,0.277978035952673,0.984499178981938,0.046846295162278,0,0
"2","EPCAM",0.55,0.187003490600481,0.986093867762932,0.373392529087569,0,0
"3","TACSTD2",0.55,0.27738344632452,0.985136504285439,0.0477648499693815,0,0
"4","MAL2",0.55,0.213065438236941,0.985774562989753,0.545162278015922,0,0
"5","TGFBI",0.9375,0.976716666286186,0.997712513327518,0,0,0
"6","AGR2",0.45,0.155410009781945,0.982591590853209,0.0696570728720147,0,0
"7","VIM",0.45,0.214601510948286,0.986413356361542,0.103796693202694,0,0
"8","GJA1",0.4375,0.477877921204824,0.976908023483365,0,0,0
"9","SRGN",0.15,0.0382540690886696,0.958681154190555,0,0,0
"10","IGFBP7",0.575,0.649447854165343,0.980058331289013,0,0,0
"11","SPP1",0,0,0,0,1,0
"12","CAV1",0.85,0.928405460632329,0.995434319984523,0.880587875076546,0,0
"13","DKK1",0.5875,0.707157551608663,0.984180790960451,0,0,0
"14","C19orf33",0.75,0.488395720097706,0.992841977555354,0.944121249234538,0,0
"15","UCHL1",0.025,0.01226401647239,0.938408676607519,0,0,0
"16","SPARC",0.8125,0.630980416037199,0.995434319984523,0.00704225352112676,0,0
"17","TFPI2",0.6375,0.724558546746505,0.982909066065449,0,0,0
"18","S100P",0.4,0.140080805677182,0.981323509346432,0,0,0
"19","DSP",0.5875,0.302254382804334,0.985136504285439,0,0,0
"20","CTGF",0.875,0.904457000625338,0.994785106618052,0.0220453153704838,0,0
"21","ALDH1A1",0,0,0,0,1,0
"22","MIR205HG",0.3375,0.165247583591058,0.970350557244174,0,0,0
"23","BASP1",0.0125,0.0165996699865547,0.946663494706791,0,0,0
"24","IGFBP3",0.6875,0.810818031186957,0.98769315218883,0,0,0
"25","SPINT2",0.4875,0.192457788354092,0.985455441883396,0.0460808328230251,0,0
"26","AKR1C3",0.075,0.00782055504198109,0.942520110062272,0.0476117575015309,0,0
"27","FSTL1",0.9625,0.930436639726009,0.998691723487998,0.297075933864054,0,0
"28","MGST1",0.0375,0.0303539154950394,0.958073866292659,0,0,0
"29","ANXA1",0.7875,0.885477767762432,0.99316536345207,0,0,0
